date,views,unique_visitors
2026-04-29,13,2
2026-04-30,42,3
2026-05-01,41,2
2026-05-02,3,1
2026-05-03,0,0
2026-05-04,3,2
2026-05-05,13,3
2026-05-06,7,3
2026-05-07,17,3
2026-05-08,10,1
2026-05-09,0,0
2026-05-10,0,0
2026-05-11,1,1
2026-05-12,27,4
2026-05-13,33,3
2026-05-14,24,2
2026-05-15,53,2
2026-05-16,0,0
2026-05-17,0,0
2026-05-18,10,1
2026-05-19,6,2
2026-05-20,3,2
2026-05-21,0,0
2026-05-22,2,1
2026-05-23,0,0
2026-05-24,0,0
2026-05-25,0,0
2026-05-26,7,1
2026-05-27,8,2
2026-05-28,29,3
2026-05-29,23,3
2026-05-30,9,1
2026-05-31,2,1
2026-06-01,4,2
2026-06-02,1,1
2026-06-03,2,1
2026-06-04,4,1
2026-06-05,49,3
2026-06-06,0,0
2026-06-07,0,0
2026-06-08,42,6
2026-06-09,22,3
2026-06-10,34,3
2026-06-11,7,4
2026-06-12,0,0
2026-06-13,0,0
2026-06-14,0,0
2026-06-15,20,2
2026-06-16,29,4
2026-06-17,30,2
2026-06-18,51,3
2026-06-19,0,0
2026-06-20,0,0
2026-06-21,0,0
2026-06-22,0,0
2026-06-23,0,0
