fetched_date,platform,downloads
2026-05-14,noarch,24360
2026-05-15,noarch,24394
2026-05-16,noarch,24511
2026-05-17,noarch,24593
2026-05-18,noarch,24660
2026-05-19,noarch,24706
2026-05-20,noarch,24756
2026-05-21,noarch,24802
2026-05-22,noarch,24925
2026-05-23,noarch,25003
2026-05-24,noarch,25061
2026-05-25,noarch,25156
2026-05-26,noarch,25250
2026-05-27,noarch,25282
2026-05-28,noarch,25347
2026-05-29,noarch,25432
2026-05-30,noarch,25444
2026-05-31,noarch,25500
2026-06-01,noarch,25546
2026-06-02,noarch,25574
2026-06-04,noarch,25671
2026-06-05,noarch,25688
2026-06-06,noarch,25786
2026-06-07,noarch,25788
2026-06-08,noarch,25829
2026-06-09,noarch,25869
2026-06-10,noarch,25961
2026-06-11,noarch,26032
2026-06-12,noarch,26071
2026-06-13,noarch,26091
2026-06-14,noarch,26138
2026-06-15,noarch,26140
2026-06-16,noarch,26277
2026-06-17,noarch,26316
2026-06-18,noarch,26365
2026-06-19,noarch,26447
2026-06-20,noarch,26480
2026-06-21,noarch,26546
2026-06-22,noarch,26605
2026-06-23,noarch,26724
2026-06-24,noarch,26822
2026-06-25,noarch,26907
2026-06-26,noarch,27011
2026-06-28,noarch,27141
2026-06-29,noarch,27202
2026-06-30,noarch,27315
2026-07-01,noarch,27385
2026-07-02,noarch,27441
2026-07-03,noarch,27564
2026-07-04,noarch,27593
2026-07-05,noarch,27674
2026-07-07,noarch,27784
2026-07-09,noarch,27958
2026-07-10,noarch,28079
2026-07-11,noarch,28152
2026-07-12,noarch,28273
2026-07-13,noarch,28338
2026-07-14,noarch,28436
2026-07-15,noarch,28528
2026-07-16,noarch,28601
2026-07-17,noarch,28708
2026-07-18,noarch,28813
