fetched_date,total_downloads
2026-05-14,24360
2026-05-15,24394
2026-05-16,24511
2026-05-17,24593
2026-05-18,24660
2026-05-19,24706
2026-05-20,24756
2026-05-21,24802
2026-05-22,24925
2026-05-23,25003
2026-05-24,25061
2026-05-25,25156
2026-05-26,25250
2026-05-27,25282
2026-05-28,25347
2026-05-29,25432
2026-05-30,25444
2026-05-31,25500
2026-06-01,25546
2026-06-02,25574
2026-06-04,25671
2026-06-05,25688
2026-06-06,25786
2026-06-07,25788
2026-06-08,25829
2026-06-09,25869
2026-06-10,25961
2026-06-11,26032
2026-06-12,26071
2026-06-13,26091
2026-06-14,26138
2026-06-15,26140
2026-06-16,26277
2026-06-17,26316
2026-06-18,26365
2026-06-19,26447
2026-06-20,26480
2026-06-21,26546
2026-06-22,26605
2026-06-23,26724
2026-06-24,26822
2026-06-25,26907
2026-06-26,27011
2026-06-28,27141
2026-06-29,27202
2026-06-30,27315
2026-07-01,27385
